ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_fips,county_name,region_code,region_name,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002803,0028.03,06073,San Diego,09,San Diego,6,Total,,,4449,5370,82.84916201,81.84094119,83.85738283,0.514398377,2.999260894,,1.085371056,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002804,0028.04,06073,San Diego,09,San Diego,6,Total,,,388,4638,8.36567486,7.568836409,9.162513311,0.40655023,4.859742185,,0.10959509,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002902,0029.02,06073,San Diego,09,San Diego,6,Total,,,5272,5272,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002903,0029.03,06073,San Diego,09,San Diego,6,Total,,,3717,3717,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002904,0029.04,06073,San Diego,09,San Diego,6,Total,,,5379,7316,73.52378349,72.51276032,74.53480666,0.515828148,1.948269866,,0.963203304,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002905,0029.05,06073,San Diego,09,San Diego,6,Total,,,3282,4022,81.60119344,80.40368627,82.7987006,0.610973043,3.320721052,,1.06902196,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003001,0030.01,06073,San Diego,09,San Diego,6,Total,,,4226,4226,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003003,0030.03,06073,San Diego,09,San Diego,6,Total,,,4550,5062,89.88542078,89.05477945,90.71606212,0.423796599,4.189957786,,1.177550041,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003004,0030.04,06073,San Diego,09,San Diego,6,Total,,,4940,4940,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003101,0031.01,06073,San Diego,09,San Diego,6,Total,,,3785,3785,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003103,0031.03,06073,San Diego,09,San Diego,6,Total,,,6256,6256,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003105,0031.05,06073,San Diego,09,San Diego,6,Total,,,4167,4167,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003107,0031.07,06073,San Diego,09,San Diego,6,Total,,,5992,5992,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003108,0031.08,06073,San Diego,09,San Diego,6,Total,,,2817,3520,80.02840909,78.70768177,81.34913641,0.67384047,3.373994958,,1.048417592,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003109,0031.09,06073,San Diego,09,San Diego,6,Total,,,3358,3358,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003111,0031.11,06073,San Diego,09,San Diego,6,Total,,,6183,6183,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003112,0031.12,06073,San Diego,09,San Diego,6,Total,,,4574,4574,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003113,0031.13,06073,San Diego,09,San Diego,6,Total,,,5043,5043,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003114,0031.14,06073,San Diego,09,San Diego,6,Total,,,3341,3341,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003115,0031.15,06073,San Diego,09,San Diego,6,Total,,,6454,6454,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003201,0032.01,06073,San Diego,09,San Diego,6,Total,,,3373,4932,68.39010543,67.09247,69.68774087,0.662058897,2.094467275,,0.895949207,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003202,0032.02,06073,San Diego,09,San Diego,6,Total,,,1254,4551,27.55438365,26.25629588,28.85247143,0.662289681,2.403572838,,0.360978069,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003204,0032.04,06073,San Diego,09,San Diego,6,Total,,,3453,3453,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003207,0032.07,06073,San Diego,09,San Diego,6,Total,,,5890,5890,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003208,0032.08,06073,San Diego,09,San Diego,6,Total,,,6619,6619,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003209,0032.09,06073,San Diego,09,San Diego,6,Total,,,5385,5385,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003211,0032.11,06073,San Diego,09,San Diego,6,Total,,,2763,3165,87.2985782,86.13846874,88.45868766,0.591892582,4.66004981,,1.143660934,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003212,0032.12,06073,San Diego,09,San Diego,6,Total,,,4053,4053,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003213,0032.13,06073,San Diego,09,San Diego,6,Total,,,2500,4193,59.62318149,58.13804195,61.10832103,0.757724256,1.876631899,,0.781097526,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003214,0032.14,06073,San Diego,09,San Diego,6,Total,,,2310,4610,50.10845987,48.66510012,51.55181962,0.736408037,1.476017849,,0.656449271,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003301,0033.01,06073,San Diego,09,San Diego,6,Total,,,3332,3337,99.85016482,99.71892692,99.98140271,0.06695811,44.68784283,,1.308093845,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003303,0033.03,06073,San Diego,09,San Diego,6,Total,,,4193,4193,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003304,0033.04,06073,San Diego,09,San Diego,6,Total,,,3563,3563,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003305,0033.05,06073,San Diego,09,San Diego,6,Total,,,5738,5738,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003401,0034.01,06073,San Diego,09,San Diego,6,Total,,,6065,6065,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003403,0034.03,06073,San Diego,09,San Diego,6,Total,,,4093,4283,95.56385711,94.9472172,96.18049702,0.314612201,7.092021355,,1.25194078,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003404,0034.04,06073,San Diego,09,San Diego,6,Total,,,4178,4634,90.15968925,89.30208156,91.01729694,0.437554944,4.446556159,,1.181143113,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003501,0035.01,06073,San Diego,09,San Diego,6,Total,,,4255,4255,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003502,0035.02,06073,San Diego,09,San Diego,6,Total,,,4946,4946,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003601,0036.01,06073,San Diego,09,San Diego,6,Total,,,3250,3250,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003602,0036.02,06073,San Diego,09,San Diego,6,Total,,,3079,3079,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003603,0036.03,06073,San Diego,09,San Diego,6,Total,,,3415,4228,80.77105014,79.5831109,81.95898939,0.606091452,3.151973749,,1.058146611,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003800,0038.00,06073,San Diego,09,San Diego,6,Total,,,4130,6530,63.24655436,62.07714398,64.41596475,0.596637951,1.623352426,,0.828565768,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003901,0039.01,06073,San Diego,09,San Diego,6,Total,,,4241,4241,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073003902,0039.02,06073,San Diego,09,San Diego,6,Total,,,4927,4927,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004000,0040.00,06073,San Diego,09,San Diego,6,Total,,,4850,5160,93.99224806,93.34386265,94.64063347,0.330808884,5.506367225,,1.23135181,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004100,0041.00,06073,San Diego,09,San Diego,6,Total,,,6546,6546,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004200,0042.00,06073,San Diego,09,San Diego,6,Total,,,5673,5673,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004300,0043.00,06073,San Diego,09,San Diego,6,Total,,,3665,3665,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004400,0044.00,06073,San Diego,09,San Diego,6,Total,,,3866,3866,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004501,0045.01,06073,San Diego,09,San Diego,6,Total,,,2875,2875,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004600,0046.00,06073,San Diego,09,San Diego,6,Total,,,1876,1940,96.70103093,95.90622723,97.49583463,0.405512092,12.29208529,,1.266838403,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004700,0047.00,06073,San Diego,09,San Diego,6,Total,,,1759,1858,94.67168999,93.65042599,95.69295399,0.521053062,9.77895545,,1.240252885,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004800,0048.00,06073,San Diego,09,San Diego,6,Total,,,4115,4115,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073004900,0049.00,06073,San Diego,09,San Diego,6,Total,,,5028,5028,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005000,0050.00,06073,San Diego,09,San Diego,6,Total,,,2227,2227,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005100,0051.00,06073,San Diego,09,San Diego,6,Total,,,7140,7140,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005200,0052.00,06073,San Diego,09,San Diego,6,Total,,,4527,4563,99.21104536,98.95433886,99.46775187,0.130972704,16.60079026,,1.299721017,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005300,0053.00,06073,San Diego,09,San Diego,6,Total,,,6667,6667,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005400,0054.00,06073,San Diego,09,San Diego,6,Total,,,7435,7435,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005500,0055.00,06073,San Diego,09,San Diego,6,Total,,,198,198,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005600,0056.00,06073,San Diego,09,San Diego,6,Total,,,4463,4463,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005700,0057.00,06073,San Diego,09,San Diego,6,Total,,,1948,1948,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005800,0058.00,06073,San Diego,09,San Diego,6,Total,,,2725,2725,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073005900,0059.00,06073,San Diego,09,San Diego,6,Total,,,2821,2821,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006000,0060.00,06073,San Diego,09,San Diego,6,Total,,,3536,3536,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006100,0061.00,06073,San Diego,09,San Diego,6,Total,,,2237,2237,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006200,0062.00,06073,San Diego,09,San Diego,6,Total,,,142,144,98.61111111,96.69962343,100,0.975248816,70.21791478,,1.291861538,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006300,0063.00,06073,San Diego,09,San Diego,6,Total,,,19,3435,0.553129549,0.305100989,0.801158108,0.126545183,22.8780371,,0.007246311,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006500,0065.00,06073,San Diego,09,San Diego,6,Total,,,2405,2569,93.61619307,92.67085014,94.561536,0.48231782,7.555332194,,1.226425276,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006600,0066.00,06073,San Diego,09,San Diego,6,Total,,,1521,1920,79.21875,77.40383921,81.03366079,0.925974894,4.455819039,,1.037810598,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006801,0068.01,06073,San Diego,09,San Diego,6,Total,,,2503,2503,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006802,0068.02,06073,San Diego,09,San Diego,6,Total,,,4165,5032,82.77027027,81.72684302,83.81369752,0.532360842,3.089780571,,1.08433753,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073006900,0069.00,06073,San Diego,09,San Diego,6,Total,,,4850,5148,94.21134421,93.57340798,94.84928044,0.325477667,5.622681303,,1.234222094,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073007002,0070.02,06073,San Diego,09,San Diego,6,Total,,,1232,2947,41.80522565,40.02439229,43.58605902,0.908588451,2.173384875,,0.547672189,7/3/17
